id,x,y,z,rotx,roty,rotz
0,0.0,0.0,-20.0,0.0,0.0,0.0
1,0.0,0.0,-430.0,0.0,0.0,0.0
2,0.0,430.0,-430.0,-180.0,90.0,0.0
3,460.0,430.0,-430.0,-180.0,90.0,0.0
4,230.0,0.0,30.0,-90.0,32.399994,90.0
5,230.0,0.0,30.0,90.0,32.399994,-90.0
6,0.0,0.0,-10.0,0.0,0.0,0.0
